order_id,payment_sequential,payment_type,payment_installments,payment_value
3ab4eea6776259ae8dfbabaeffece352,1,credit_card,8,387.8
07d13d352c85dfbfa60dc56dea818335,1,boleto,1,32.62
c8ea1ac95f4f994f94fb57e99dcca985,1,credit_card,4,49.01
5d5b8c94e2bc6b963da5af8a4b02bf08,1,boleto,1,80.55
9c54a1816e487456bb7eb5082b9823ff,1,credit_card,1,2.01
3ac963599c50b9beedbcebb47eb33af9,1,credit_card,2,123.04
ba3d713d46b9dadf35bf0ab911b06408,1,credit_card,1,85.6
c504b1d68ad8d98a627dadca7ca53673,1,boleto,1,38.42
56a726fa0f40d3678696e62aaed9690d,2,voucher,1,33.05
058afe6c6322b4773393a66003934493,1,credit_card,4,245.29
7249fd69ae42373a6a357567e41ecc57,1,credit_card,1,110.7
08432abcf785878edf1221a0611960ea,1,boleto,1,47.18
0cafd6a7576a6aae0f891008a87f1546,1,credit_card,1,10.9
775eb0ae1891c8dd8f12c2f8c6850006,1,credit_card,8,1326.79
9a4ae4d5c3a3dabdf42e5d7ec4203ed2,1,credit_card,10,197.91
35444785eacb17aeda6810ebd8dd188e,1,voucher,1,67.96
a8f7a1d76c02dc4a7c5177aee8c2b02c,1,credit_card,10,236.9
8141520643442c50aa531801cbc79e46,1,credit_card,8,147.9
e9cd104dfc8837e084c067292c013b0a,1,credit_card,4,47.71
adf684f287283640cb375a2e8ada8c82,1,credit_card,4,294.42
73e934755292def8b6519b03f2230723,1,credit_card,2,49.06
d6f83d3377bbf1697831ea355301fb87,2,voucher,1,113.18
b063bf13bfec7c847d7a6bdb54554c00,1,credit_card,10,104.79
7004296aa0256632eaddc171edaf727f,1,boleto,1,19.62
5965bbd72c3ca0d9634419437ca53897,1,credit_card,10,147.99
8a027244dea2edca1449d9150e74eb45,1,credit_card,1,119.52
f9d5369378902ad40733614f75fdc908,1,credit_card,1,41.9
1b3d11cf9f92c0f7baf627ab059621f8,1,credit_card,1,16.71
55090b3dd39aed5a2019b57cce6b174d,1,boleto,1,125.09
3630513f30286ed696e4a2e36c79ae3c,1,credit_card,5,105.74
5965b589a33443dd1f820eb7df39762a,1,boleto,1,19.62
012973f4cb6743d00d7e2644ddc8804c,1,credit_card,1,33.32
bfbf87cc2829df6adac299ab0cc012bc,1,credit_card,3,251.82
c6eb5dced200e49271f44b142658b6bb,1,credit_card,2,41.93
76774c936de5cb5a431120fde98e40da,1,credit_card,1,141.37
ed6878f64d1bb00f07e210dfaaf9e4d3,1,credit_card,2,75.73
0f3827e8b786c3d934c0863c1690603d,1,credit_card,1,117.34
b42efbd88abf3882f91928b08cf74d6f,1,boleto,1,113.86
db7d019ce87ceb1539bd37353ab408ba,2,voucher,1,100.0
22474d84064cd7eb4a907ba3fd8a6398,1,credit_card,4,296.78
beeff7037aa708c19973290382629a4c,1,credit_card,3,222.85
6ed4f19dc97f2a4b5d0f15651247dbca,1,credit_card,1,98.31
cedfe51bd6a794860c83382885f2328c,1,boleto,1,41.93
6225dae3fcc1416785f294cc07f2e4db,1,credit_card,8,278.07
d44df0d4c71052d8b2a3bd5c50bd42b5,1,boleto,1,84.99
1b3d11cf9f92c0f7baf627ab059621f8,2,voucher,1,200.0
015fb6b5f739788434fa690540f90f19,1,boleto,1,475.96
9a3e437ab219133c20a7033be9087edf,1,credit_card,3,164.21
ae917963181c56c14f8d0e873b1588ac,1,boleto,1,406.14
1460b7b8fd63551dc68bfdffdc31edec,1,credit_card,4,103.91
43a5d40681ed4ffe2ed88d6fb2639545,1,credit_card,3,81.78
77e102ecf08e057581ef2ce55c80c6c0,1,credit_card,4,43.62
ed5c53daefe487fab95ccd2afaf61bb0,1,credit_card,6,76.74
8b93f79b1a4d6b3388dab2356493c0b3,1,credit_card,10,159.94
d01c0baa4630bdd8a5d0266931837209,1,voucher,1,197.49
e48db3b231e0ad61656e81b4c9311dad,1,credit_card,4,80.77
7090c88db4158f89d839c794cdd73272,1,boleto,1,82.9
76c6e866289321a7c93b82b54852dc33,1,boleto,1,35.95
6c7481b5566c6a3821a91a05b0f9f7c8,1,credit_card,3,74.49
f7a4be4d6edb66bd0e62e91e1bbc9061,1,credit_card,1,66.99
625b3ac41fea45dbd5aaa02d0941ee59,1,credit_card,3,114.77
d34e369fbc5cb753012079961b615121,1,boleto,1,39.42
8846a9571a893b22eb57d4732b978bbb,1,credit_card,8,425.02
be09f109e6aa72ccad1f72f521f8d525,1,credit_card,1,128.0
0b3407e419ef6be66392971885acce73,1,credit_card,2,577.6
464de32dc84484c1d26df3e8e38e708b,1,boleto,1,15.62
58a4317c14bcba43d0cf161f17e9db2b,2,voucher,1,12.95
500e2838d85214e92e2c15b2fd5303b7,1,credit_card,1,60.0
aa799c67bfe59b0de24f6db1dc1b776e,1,credit_card,8,240.4
882c1e2076610adab15e5a68430d2180,1,credit_card,2,276.84
df6e0cd0f23b4735b02cb6d9279bb310,1,credit_card,7,372.64
09f58c00f941827ab206de7796785e44,1,boleto,1,17.62
56ef80c564f6fd57cc662adee0379746,1,credit_card,4,49.42
40599d3d28b75746952ded75566637b9,1,boleto,1,20.62
4079df924e51e553825e62f9f8995d59,1,credit_card,8,239.9
f63be24880200ae32aa24f5b458a3dc3,1,credit_card,1,147.99
76bd9ce8aa3ce93bd913f3ec17f66790,1,boleto,1,87.37
588454faf6ae4ce8b0f387e19b7115a2,1,boleto,1,88.29
4269e9f98b1e74f0732bc93de6aaca6f,1,credit_card,8,331.21
b8a4cbf978ddb7ef0264c480a122329f,1,credit_card,1,15.71
171398a0cd843c65ac78aee9e05a1f49,1,credit_card,5,378.61
b4a600b2f7cc0efe40a086465eca8799,1,credit_card,8,709.93
042e247be09aeae88a74e35766aa03ca,1,credit_card,5,153.32
ce678bd6591f2487c9b4f5af45b4619f,1,credit_card,1,419.06
055eb7e5645d86bd278fc4f419622e8d,1,credit_card,3,156.08
9980c5519e01cc5a1c1c35bd247bb499,1,credit_card,10,216.6
343d749914bab05f8c752813a075ef36,1,credit_card,2,141.23
2511cdf205337513507a1863f0098d39,1,voucher,1,107.58
9b91ddcbd6cbceb83d4fd2462ca1f95e,1,boleto,1,19.62
b626a11507dbce56f74a5b1b1a6af615,1,credit_card,3,37.95
475f773f6c0d909e49b758adb2401e3a,1,credit_card,1,57.9
7ead6c8726098bd70de2b16cac42df74,1,boleto,1,69.94
43d29c6fc78c31c80080d85e5260a9fb,1,boleto,1,19.62
7a094f321857b6925fee399192bb5ebd,1,credit_card,1,41.93
e1000df659259b29cb73a4798ccd7454,1,credit_card,1,84.59
aa4f1c4318226e2f86adeb5578d8726b,1,debit_card,1,138.49
0bda8164c1a12b6a388ebec8559ee287,1,boleto,1,15.62
3a3c98aede7994faf4c5a37cf27877d4,2,voucher,1,299.89
e068276f5e75a66212f75b84ebfeaccf,1,credit_card,1,56.86
072e34b42ad90d7472e9a798f19a6bdb,1,credit_card,8,85.6
d62c14881563a74903e7d10f685406aa,1,credit_card,6,87.83
3aa0a75931f649d9e3e83aaa9d6a95e7,1,credit_card,1,268.53
11db6666e1dbeee776c8e15fd0792c4b,1,credit_card,5,55.98
abfb34ed11820c7247adfb30fe5bb7ae,1,credit_card,4,371.05
00b4a910f64f24dbcac04fe54088a443,2,voucher,1,48.05
616f1f539d7add607844e0199fed7ea6,1,credit_card,1,61.42
3eceaafe1639eb6b25f3cd604891c218,1,credit_card,1,45.52
3b64ff25a4610fb5599e4fd09f907501,1,voucher,1,162.1
47378b461210a310c95e17323f7dd726,1,boleto,1,144.14
9abb2627b40ff1591e62553894e6b312,1,credit_card,3,127.41
5a1b8ce8aee70bd3445109304936c826,1,credit_card,3,305.44
ed2ea4498bcd56d90d461a23fa47ac56,1,credit_card,4,40.86
9c54a1816e487456bb7eb5082b9823ff,5,voucher,1,9.37
3ce4038922670fead496aeae61a8a393,1,boleto,1,19.62
5dc269b7c4dce1624653e914a1b739f5,1,credit_card,2,88.23
942cb81b8e0a2f33510159729f69d8b1,1,boleto,1,167.32
8cb07e7e810ad9e5f33062cb4735d488,1,boleto,1,38.42
17fed53ba6dfef9b594ee2268642e2aa,1,boleto,1,18.62
dff20979c5b8b4378f7e769aa413390e,1,credit_card,6,87.27
99e3f90c535337b45eace6f8a8a9400f,1,credit_card,4,95.0
250d181fa1c603024562b93a8f8d5fe0,1,credit_card,4,303.72
5497655681652e7e1306139bb5d04a14,1,credit_card,1,44.42
7a18a504c1a4b32d883e68de2e1a7db0,1,boleto,1,16.62
a3e6136894621db402a772c6bc72a12a,1,credit_card,10,256.9
0a1ad2c293c3baacc6b2c2d442c71acd,1,credit_card,4,44.42
0b6d11d4a289a1574e8888f2558dd548,1,credit_card,1,75.53
8c10b4712b6c450e49bcfb6b1e48449f,1,boleto,1,41.9
b4d81b7ba0a5e97d9b77104dc0f3b82d,1,credit_card,1,169.99
06f5f6139b33f53defc64643f1252d53,1,credit_card,6,60.46
9021fdebb45ac827a6033d6969d5c2e3,1,boleto,1,50.95
062f0992a050330334749ffa530fa796,1,credit_card,2,147.99
c96209cd1d43d071d3bdf48d299b7aa5,1,boleto,1,20.62
9843c2a66fe0afda6509bc4274f743de,2,voucher,1,88.92
95e4477d8423c69a93c55d840e02d9ba,1,credit_card,6,66.9
bf44408de1d05eef70fb026ba64a90ea,1,boleto,1,21.45
4c379ba0590506b26a68dc00e29ba8ba,1,credit_card,2,122.99
1ef09d75953043a71a73428e15bc2f5c,1,boleto,1,176.75
7e6b55f6388682bf51a05d8f13c2d466,1,credit_card,5,740.62
2c4ada2e75c2ad41dd93cebb5df5f023,1,credit_card,1,209.06
a2db088616f079ceb7a0e856f8a741ca,1,boleto,1,30.86
d3aa5667ad65af7fa58a5481d0aff07a,1,credit_card,1,87.9
319ccdc182a8c5d60b228310a6432460,1,credit_card,10,709.93
a8305d2dfd60042d6000b3de3bc533a3,1,credit_card,1,74.18
1b3d11cf9f92c0f7baf627ab059621f8,3,voucher,1,200.0
668ee4108169a1d58c55b20ddc3fa3c9,1,credit_card,10,118.03
ec7a019261fce44180373d45b442d78f,1,credit_card,1,19.62
a68667474430fadbcfc1bfbb9e2adc0b,1,boleto,1,32.77
b9581bf1b646f4fc021b131e1ca4d034,1,credit_card,1,77.54
e19721a12bc1caeb2095db14d8d6fc4e,1,debit_card,1,87.9
8dc67de08c1738a90e70f62f2920b432,1,credit_card,10,369.78
dceb6ab566e0d15ffaba53ef637afa3c,1,boleto,1,80.33
6f7626222f2b324b580e36eb22d8bb8e,1,boleto,1,182.89
3c6f2c25e0bc1279d17395ec365ea14c,1,boleto,1,60.95
d7449e15f5045562074cc57796341cf7,1,credit_card,1,222.27
ab0c90a5da04e0132ea07c113bedec0d,1,credit_card,3,77.52
c9f7bcb4ff5c6c8e661cb6cd7fd0974b,1,credit_card,2,77.99
b95df3cef5297e79ef709ba256518f6f,1,boleto,1,363.74
0c3a7b14aa5e70ef5991122f6bb552de,1,credit_card,10,154.66
a01cc79e3afbac4a52ce1d528080e438,1,boleto,1,28.46
cfe9a2c324eefb180663116644e4f171,1,credit_card,3,605.7
de59016b99422f0bbd7e51a301bf2578,1,credit_card,5,52.11
2867faaa7a912bbc2bf8d8e40d7a0354,1,credit_card,1,138.35
35aa6b03b34d8d0a5c1eaae2bb5fcf76,1,credit_card,1,64.51
70d0dedf8c23e2cedca5915427acd101,1,credit_card,6,185.26
c13e334a4d2b0b11e6422e69d009de0c,1,credit_card,1,50.01
c7da1b57f7d2251252370bc7d94168fe,1,boleto,1,38.0
5d97051b2fbe2d850d8c195e054735b4,1,credit_card,1,83.0
f313be47c42e07616027ad6d6ac3034c,1,credit_card,7,74.49
f8156c3c902b5ae88ac59a6c7b28f72a,1,boleto,1,60.64
284039cca9a61886953286f5dae55fdf,1,credit_card,3,217.0
200f4d883fcc701355e46b8c6035743f,1,boleto,1,169.4
abef8b5d0f7fa066c7473db7d650c870,1,credit_card,1,452.72
aa58df9711205e09b4ef6d704db7871e,1,credit_card,10,619.46
e660da13091dbe48784500c1c3e2fb75,1,credit_card,4,256.06
16fe5fdb7f5aa0c9e841387dfec29821,1,credit_card,10,195.7
0aaf52291c13507e7fe4f565f079ad9a,1,credit_card,1,0.96
6acecf438369055d9243e121045cca74,1,boleto,1,18.62
cd6f777c4734b77c8f01725d6a3500c0,1,credit_card,1,55.91
1306d7999cdd320272eeea20f5768b77,1,credit_card,1,41.68
b0f913cb83681e8a8563b96b641b3e1b,1,voucher,1,13.51
753aaaa715f963740a358c291bc79727,1,credit_card,1,144.07
ebb5a074406776ad07439bc2049c1fe4,1,credit_card,1,65.55
1e69dcdcbc094d39d6ba64248af906fb,1,credit_card,3,186.49
91750e4d3d89e619cd557a6da400be06,4,voucher,1,10.13
399775d0638168dfd529422f995fcc41,1,boleto,1,259.99
4418075144d646b6ecb7228571cec59e,1,credit_card,8,109.9
60e2fe3a23e71c24f3ab0f648ebd6a8f,1,credit_card,2,106.52
97df4160390cf20ee63b032b5a93d0e2,1,credit_card,1,203.73
91750e4d3d89e619cd557a6da400be06,8,voucher,1,6.12
e81600d4371046078150ab84d31175d3,1,credit_card,10,986.32
6f6b636fb54260d97e6124e137986824,1,credit_card,2,125.99
